rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
0.525251,0.971494,0.791752,0.414772,inf,-0.085853,-0.424873,0.083919,-0.106301,0.300793,,0.973314,DO_mg.L,train,0,rnn,2,2,100
1.678121,0.557334,1.923571,1.965349,inf,0.156292,-0.975028,1.46469,-10.2121,-4.762659,,0.778868,DO_mg.L,val,0,rnn,2,2,100
0.549667,0.964871,0.540474,0.514743,inf,0.040319,0.027561,0.139201,0.490701,0.091366,,0.981001,DO_mg.L,train,0,rnn,3,1,100
2.034961,0.599094,2.132649,1.808353,inf,0.073866,-1.526405,0.839341,-7.044034,-6.757898,,0.798922,DO_mg.L,val,0,rnn,3,1,100
0.429619,0.97854,0.411646,0.45083,inf,-0.002293,-0.094029,0.095547,0.704558,0.303001,,0.986322,DO_mg.L,train,0,rnn,3,2,100
1.910734,0.646548,2.465821,1.716216,inf,-0.233328,-2.102612,0.728102,-9.753712,-5.987498,,0.798051,DO_mg.L,val,0,rnn,3,2,100
0.512809,0.971691,0.49723,0.575153,inf,0.069218,-0.065168,0.185624,0.513743,-0.530682,,0.979353,DO_mg.L,train,0,rnn,4,1,100
2.115892,0.403571,1.939999,1.479449,inf,0.413357,-1.43512,0.408997,-3.528853,-3.247973,,0.717204,DO_mg.L,val,0,rnn,4,1,100
0.451192,0.978085,0.428093,0.337794,inf,-0.029265,0.013324,0.025931,0.639565,0.472012,,0.983747,DO_mg.L,train,0,rnn,4,2,100
2.284862,0.304508,2.52191,1.931951,inf,-0.061253,-2.014863,0.608244,-6.653223,-6.243922,,0.673205,DO_mg.L,val,0,rnn,4,2,100
0.570931,0.961455,0.491853,0.746821,inf,0.080212,-0.067606,0.275668,0.581808,0.003933,,0.977046,DO_mg.L,train,0,rnn,5,1,100
1.739186,0.71495,1.64217,1.94676,inf,0.234446,-1.325653,1.181939,-4.717379,-4987130.631704,,0.843536,DO_mg.L,val,0,rnn,5,1,100
0.451641,0.975879,0.499863,0.554251,inf,-0.019966,-0.209959,0.204122,0.568076,0.451384,,0.970429,DO_mg.L,train,0,rnn,5,2,100
1.761045,0.70774,1.633218,1.88826,inf,0.209555,-1.375594,1.140269,-4.65521,-4691911.134264,,0.837494,DO_mg.L,val,0,rnn,5,2,100
0.533183,0.965892,0.595779,0.659595,inf,0.011706,-0.179018,0.157644,0.38478,0.289131,,0.979299,DO_mg.L,train,0,rnn,6,1,100
1.815164,0.664516,1.800388,1.914096,inf,0.340099,-1.398804,1.36915,-6.348775,-6024.63541,,0.779805,DO_mg.L,val,0,rnn,6,1,100
0.511145,0.968654,0.745165,0.532832,inf,0.162245,-0.098071,0.202602,0.037581,0.536109,,0.971587,DO_mg.L,train,0,rnn,6,2,100
2.027913,0.581266,1.631687,2.016901,inf,0.574354,-1.000541,1.542667,-5.036101,-6689.28675,,0.771014,DO_mg.L,val,0,rnn,6,2,100
0.575355,0.961924,0.584288,0.6868,inf,0.080941,-0.2386,0.367843,0.424052,0.062465,,0.95236,DO_mg.L,train,0,rnn,7,1,100
1.646572,0.722866,1.51993,2.262215,inf,-0.032914,-1.026087,1.600644,-4.174747,-3337.384735,,0.823404,DO_mg.L,val,0,rnn,7,1,100
0.468127,0.974793,0.43261,0.588326,inf,0.023436,-0.095624,0.121987,0.684265,0.312039,,0.984718,DO_mg.L,train,0,rnn,7,2,100
1.701141,0.704192,1.546144,2.182979,inf,-0.035196,-0.877247,1.398875,-4.354783,-3107.620192,,0.836225,DO_mg.L,val,0,rnn,7,2,100
0.591922,0.961561,0.634446,0.637782,inf,-0.00068,-0.28628,0.237455,0.268811,-0.489675,,0.969617,DO_mg.L,train,0,rnn,8,1,100
1.73465,0.641574,1.766108,1.733832,inf,-0.291088,-0.956662,0.860373,-4.94266,-4.379995,,0.822661,DO_mg.L,val,0,rnn,8,1,100
0.494489,0.973174,0.40389,0.41896,inf,0.106324,0.029462,0.166333,0.703676,0.357176,,0.97934,DO_mg.L,train,0,rnn,8,2,100
1.822548,0.604329,1.847041,1.515985,inf,-0.217576,-0.761753,0.649656,-5.499789,-3.11299,,0.794421,DO_mg.L,val,0,rnn,8,2,100
0.524301,0.968047,0.576353,0.443515,inf,-0.170418,-0.251909,0.00258,0.398015,0.297502,,0.96775,DO_mg.L,train,0,rnn,9,1,100
1.7638,0.66747,2.510531,1.553858,inf,-0.558861,-2.148609,0.344627,-10.856821,-4.145523,,0.815682,DO_mg.L,val,0,rnn,9,1,100
0.435548,0.97795,0.433211,0.440531,inf,0.066411,0.08486,0.12485,0.6599,0.306922,,0.98053,DO_mg.L,train,0,rnn,9,2,100
1.775176,0.663166,2.144457,1.703434,inf,-0.291665,-1.84213,0.718319,-7.651105,-5.183827,,0.82177,DO_mg.L,val,0,rnn,9,2,100
0.48519,0.975563,0.564943,0.568313,inf,-0.022068,-0.293715,0.156166,0.433552,-0.418897,,0.966606,DO_mg.L,train,0,rnn,0,1,200
1.574302,0.592049,1.846466,1.993008,inf,-0.135351,-0.53607,0.874905,-15.491063,-1.536908,,0.792821,DO_mg.L,val,0,rnn,0,1,200
0.439613,0.979938,0.373187,0.632727,inf,0.091767,0.084745,0.207038,0.752825,-0.758771,,0.981624,DO_mg.L,train,0,rnn,0,2,200
1.589676,0.584042,1.560426,1.834329,inf,-0.244738,-0.32217,0.553485,-10.77748,-1.149023,,0.798461,DO_mg.L,val,0,rnn,0,2,200
0.421625,0.979601,0.379585,0.465476,inf,0.085951,0.001038,0.129068,0.737745,0.337208,,0.98299,DO_mg.L,train,0,rnn,1,1,200
1.626088,0.724635,1.856403,1.801523,inf,0.120923,-1.398628,1.094038,-4.967712,-8.096211,,0.797346,DO_mg.L,val,0,rnn,1,1,200
0.432934,0.978492,0.4785,0.440567,inf,-0.139617,-0.324827,0.101559,0.583256,0.406245,,0.959298,DO_mg.L,train,0,rnn,1,2,200
1.637691,0.720692,1.899795,1.732356,inf,-0.297027,-1.492923,1.052586,-5.249955,-7.411138,,0.79688,DO_mg.L,val,0,rnn,1,2,200
0.479918,0.976202,0.442114,0.550915,inf,0.050755,-0.163971,0.144126,0.655044,-0.233551,,0.978853,DO_mg.L,train,0,rnn,2,1,200
