Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
7.5,1.160586,0.829326,0.811073,1.331768,inf,0.206632,-0.425378,0.757518,-3.447752,-12273.501114,,0.862761,DO_mg.L,train,2,rnn
8.0,1.068373,0.861076,0.82713,1.279058,inf,0.041796,-0.470252,0.728981,-3.000933,-2035321.398281,,0.889277,DO_mg.L,train,2,rnn
8.5,1.021652,0.877351,0.953758,,inf,0.011563,-0.517562,,-4.153907,,,0.894623,DO_mg.L,train,2,rnn
9.0,0.965796,0.894427,0.873783,,inf,0.042527,-0.509217,,-3.84049,,,0.898132,DO_mg.L,train,2,rnn
9.5,0.965154,0.898412,0.877519,,inf,0.054385,-0.517572,,-3.263129,,,0.895229,DO_mg.L,train,2,rnn
10.0,0.962071,0.901469,0.932845,,inf,0.05011,-0.55782,,-3.55406,,,0.895213,DO_mg.L,train,2,rnn
0.0,1.022933,0.653584,1.633558,1.158644,0.13251,-0.080634,-1.429609,0.676049,-3.695779,0.006294,0.701667,0.760612,DO_mg.L,train,3,rnn
0.5,0.982768,0.716845,1.829362,1.165321,0.126823,-0.088061,-1.552688,0.665874,-4.377574,0.024763,0.761761,0.771236,DO_mg.L,train,3,rnn
1.0,0.939995,0.739623,1.568877,1.203885,0.125528,0.009952,-1.315063,0.689472,-4.079324,-0.083122,0.77475,0.787927,DO_mg.L,train,3,rnn
1.5,0.912799,0.752539,1.438717,1.272942,0.125265,0.081362,-1.149213,0.725919,-3.72742,-0.213789,0.78423,0.800133,DO_mg.L,train,3,rnn
2.0,0.925454,0.74444,1.405966,1.345619,0.128598,0.139832,-1.083807,0.773603,-3.417746,-0.460356,0.775756,0.800075,DO_mg.L,train,3,rnn
2.5,0.910708,0.759784,1.453931,1.381482,0.127814,0.097067,-1.128035,0.767756,-3.820967,-0.680641,0.786738,0.807498,DO_mg.L,train,3,rnn
3.0,0.931061,0.745141,1.535564,1.371909,0.127637,0.006556,-1.206367,0.675392,-3.818888,-0.84271,0.777615,0.806098,DO_mg.L,train,3,rnn
3.5,0.953347,0.740883,1.433657,1.578543,inf,0.020863,-1.112493,0.833737,-3.5817,-1.63721,,0.800084,DO_mg.L,train,3,rnn
4.0,0.978638,0.746064,1.276477,1.611909,inf,0.074992,-0.942399,0.924522,-4.132539,-1.897063,,0.801266,DO_mg.L,train,3,rnn
4.5,1.012508,0.771205,1.10649,1.840683,inf,0.091153,-0.803405,1.180427,-4.507767,-2.728744,,0.803049,DO_mg.L,train,3,rnn
5.0,1.103281,0.761579,1.02503,2.135645,inf,0.098805,-0.740561,1.394048,-5.348979,-2.391897,,0.795238,DO_mg.L,train,3,rnn
5.5,1.166878,0.764884,1.191117,2.078569,inf,0.07529,-0.919913,1.451903,-10.662832,-2.370946,,0.787975,DO_mg.L,train,3,rnn
6.0,1.198782,0.783172,1.24508,2.117619,inf,0.105442,-0.931177,1.655187,-17.419154,-3.392849,,0.793363,DO_mg.L,train,3,rnn
6.5,1.289027,0.766252,1.303399,1.873317,inf,0.29461,-0.851179,1.461093,-18.07998,-9.636185,,0.804357,DO_mg.L,train,3,rnn
7.0,1.253405,0.793972,1.072783,1.472675,inf,0.368546,-0.670189,1.087584,-9.371759,-1077.225315,,0.820754,DO_mg.L,train,3,rnn
7.5,1.219249,0.811636,0.911,1.415255,inf,0.322103,-0.593733,0.894921,-4.611219,-13860.676271,,0.838631,DO_mg.L,train,3,rnn
8.0,1.088717,0.855734,1.007073,1.378251,inf,0.110227,-0.656685,0.835608,-4.931108,-2363248.632251,,0.871387,DO_mg.L,train,3,rnn
8.5,1.050278,0.870381,1.187208,,inf,0.027697,-0.719171,,-6.985714,,,0.885349,DO_mg.L,train,3,rnn
9.0,0.990824,0.888884,1.126608,,inf,0.015355,-0.70305,,-7.046888,,,0.899834,DO_mg.L,train,3,rnn
