Depth_m,Temp_C,datetime,DO_mg.L
4,18.673,2019-04-25T16:00:00Z,8.857
4.5,18.739,2019-04-25T16:00:00Z,8.904
5,18.664,2019-04-25T16:00:00Z,8.778
5.5,18.685,2019-04-25T16:00:00Z,8.714
6,18.649,2019-04-25T16:00:00Z,8.772
6.5,18.606,2019-04-25T16:00:00Z,8.692
7,18.557,2019-04-25T16:00:00Z,8.699
7.5,18.588,2019-04-25T16:00:00Z,8.606
8,18.487,2019-04-25T16:00:00Z,8.215
8.5,18.361,2019-04-25T16:00:00Z,7.929
9,18.226,2019-04-25T16:00:00Z,7.729
9.5,18.009,2019-04-25T16:00:00Z,7.565
10,17.908,2019-04-25T16:00:00Z,7.394
0,21.716,2019-04-25T18:00:00Z,10.801
0.5,21.033,2019-04-25T18:00:00Z,11.219
1,20.88,2019-04-25T18:00:00Z,11.243
1.5,20.291,2019-04-25T18:00:00Z,12.102
2,19.445,2019-04-25T18:00:00Z,11.443
2.5,18.806,2019-04-25T18:00:00Z,10.379
3,18.642,2019-04-25T18:00:00Z,9.336
3.5,18.698,2019-04-25T18:00:00Z,9.103
4,18.696,2019-04-25T18:00:00Z,8.803
4.5,18.671,2019-04-25T18:00:00Z,8.738
5,18.501,2019-04-25T18:00:00Z,8.679
5.5,18.513,2019-04-25T18:00:00Z,8.755
6,18.538,2019-04-25T18:00:00Z,8.753
6.5,18.567,2019-04-25T18:00:00Z,8.752
7,18.512,2019-04-25T18:00:00Z,8.688
7.5,18.53,2019-04-25T18:00:00Z,8.744
8,18.616,2019-04-25T18:00:00Z,8.601
8.5,18.134,2019-04-25T18:00:00Z,8.053
9,18.22,2019-04-25T18:00:00Z,7.698
9.5,18.085,2019-04-25T18:00:00Z,7.559
10,18.076,2019-04-25T18:00:00Z,7.552
0,22.66,2019-04-25T20:00:00Z,12.042
0.5,22.736,2019-04-25T20:00:00Z,12.182
1,22.73,2019-04-25T20:00:00Z,12.137
1.5,22.725,2019-04-25T20:00:00Z,12.012
2,22.6,2019-04-25T20:00:00Z,12.07
2.5,22.504,2019-04-25T20:00:00Z,12.142
3,19.405,2019-04-25T20:00:00Z,11.817
3.5,18.83,2019-04-25T20:00:00Z,9.953
4,18.801,2019-04-25T20:00:00Z,9.625
4.5,18.635,2019-04-25T20:00:00Z,9.164
5,18.574,2019-04-25T20:00:00Z,8.987
5.5,18.512,2019-04-25T20:00:00Z,8.885
6,18.512,2019-04-25T20:00:00Z,8.878
6.5,18.548,2019-04-25T20:00:00Z,8.856
7,18.612,2019-04-25T20:00:00Z,8.802
7.5,18.538,2019-04-25T20:00:00Z,8.727
8,18.449,2019-04-25T20:00:00Z,8.482
8.5,18.346,2019-04-25T20:00:00Z,8.117
9,18.323,2019-04-25T20:00:00Z,8.118
9.5,18.335,2019-04-25T20:00:00Z,8.039
10,18.053,2019-04-25T20:00:00Z,7.708
0,23.084,2019-04-25T22:00:00Z,12.505
0.5,22.901,2019-04-25T22:00:00Z,14.702
1,22.879,2019-04-25T22:00:00Z,12.416
1.5,22.77,2019-04-25T22:00:00Z,12.326
2,22.246,2019-04-25T22:00:00Z,12.467
2.5,21.974,2019-04-25T22:00:00Z,12.596
3,21.643,2019-04-25T22:00:00Z,12.476
3.5,21.226,2019-04-25T22:00:00Z,12.992
4,19.369,2019-04-25T22:00:00Z,11.476
4.5,18.697,2019-04-25T22:00:00Z,9.309
5,18.553,2019-04-25T22:00:00Z,8.895
5.5,18.609,2019-04-25T22:00:00Z,8.87
6,18.501,2019-04-25T22:00:00Z,8.816
6.5,18.563,2019-04-25T22:00:00Z,8.8
7,18.599,2019-04-25T22:00:00Z,8.651
7.5,18.393,2019-04-25T22:00:00Z,8.416
8,18.455,2019-04-25T22:00:00Z,8.39
8.5,18.407,2019-04-25T22:00:00Z,8.351
9,18.284,2019-04-25T22:00:00Z,8.109
9.5,18.359,2019-04-25T22:00:00Z,7.909
10,18.128,2019-04-25T22:00:00Z,7.87
0,22.621,2019-04-26T00:00:00Z,12.723
0.5,22.39,2019-04-26T00:00:00Z,12.735
1,22.195,2019-04-26T00:00:00Z,12.622
1.5,21.883,2019-04-26T00:00:00Z,12.708
2,21.642,2019-04-26T00:00:00Z,12.765
2.5,21.587,2019-04-26T00:00:00Z,12.622
3,21.27,2019-04-26T00:00:00Z,12.426
3.5,21.333,2019-04-26T00:00:00Z,12.36
4,21.131,2019-04-26T00:00:00Z,12.487
4.5,18.703,2019-04-26T00:00:00Z,9.26
5,18.636,2019-04-26T00:00:00Z,8.837
5.5,18.659,2019-04-26T00:00:00Z,8.837
6,18.613,2019-04-26T00:00:00Z,8.831
6.5,18.535,2019-04-26T00:00:00Z,8.762
7,18.581,2019-04-26T00:00:00Z,8.694
7.5,18.428,2019-04-26T00:00:00Z,8.452
8,18.398,2019-04-26T00:00:00Z,8.242
8.5,18.429,2019-04-26T00:00:00Z,8.077
9,18.317,2019-04-26T00:00:00Z,7.928
9.5,18.35,2019-04-26T00:00:00Z,7.79
10,17.947,2019-04-26T00:00:00Z,7.314
0,21.131,2019-04-26T02:00:00Z,12.267
0.5,20.888,2019-04-26T02:00:00Z,12.319
1,20.818,2019-04-26T02:00:00Z,12.218
1.5,20.711,2019-04-26T02:00:00Z,12.153
2,20.692,2019-04-26T02:00:00Z,12.015
2.5,20.315,2019-04-26T02:00:00Z,12.016
3,20.241,2019-04-26T02:00:00Z,11.815
3.5,20.106,2019-04-26T02:00:00Z,11.576
4,20.052,2019-04-26T02:00:00Z,11.475
4.5,19.943,2019-04-26T02:00:00Z,11.464
5,18.702,2019-04-26T02:00:00Z,9.451
5.5,18.731,2019-04-26T02:00:00Z,8.786
6,18.677,2019-04-26T02:00:00Z,8.771
6.5,18.707,2019-04-26T02:00:00Z,8.708
7,18.561,2019-04-26T02:00:00Z,8.705
7.5,18.533,2019-04-26T02:00:00Z,8.555
8,18.407,2019-04-26T02:00:00Z,8.386
8.5,18.489,2019-04-26T02:00:00Z,8.089
9,18.254,2019-04-26T02:00:00Z,7.91
9.5,18.307,2019-04-26T02:00:00Z,7.839
10,17.833,2019-04-26T02:00:00Z,7.035
0,21.276,2019-04-26T04:00:00Z,12.348
0.5,21.168,2019-04-26T04:00:00Z,12.36
1,20.6,2019-04-26T04:00:00Z,12.075
1.5,20.224,2019-04-26T04:00:00Z,11.866
2,20.134,2019-04-26T04:00:00Z,11.664
2.5,20.098,2019-04-26T04:00:00Z,11.601
3,20.114,2019-04-26T04:00:00Z,11.404
3.5,19.936,2019-04-26T04:00:00Z,11.189
4,19.831,2019-04-26T04:00:00Z,11.246
4.5,19.237,2019-04-26T04:00:00Z,9.672
5,18.993,2019-04-26T04:00:00Z,8.821
5.5,18.709,2019-04-26T04:00:00Z,8.853
6,18.631,2019-04-26T04:00:00Z,8.836
6.5,18.586,2019-04-26T04:00:00Z,8.77
7,18.559,2019-04-26T04:00:00Z,8.695
7.5,18.564,2019-04-26T04:00:00Z,8.618
8,18.408,2019-04-26T04:00:00Z,8.317
8.5,18.427,2019-04-26T04:00:00Z,8.23
9,18.414,2019-04-26T04:00:00Z,8.016
9.5,18.025,2019-04-26T04:00:00Z,7.288
10,17.756,2019-04-26T04:00:00Z,7.051
0,21.358,2019-04-26T06:00:00Z,12.308
0.5,21.351,2019-04-26T06:00:00Z,12.3
1,21.271,2019-04-26T06:00:00Z,12.299
1.5,21.279,2019-04-26T06:00:00Z,12.24
2,21.177,2019-04-26T06:00:00Z,12.175
2.5,20.913,2019-04-26T06:00:00Z,12.039
3,20.791,2019-04-26T06:00:00Z,11.909
3.5,20.18,2019-04-26T06:00:00Z,11.537
4,19.967,2019-04-26T06:00:00Z,11.393
4.5,19.941,2019-04-26T06:00:00Z,11.262
5,19.847,2019-04-26T06:00:00Z,11.037
5.5,18.756,2019-04-26T06:00:00Z,9.112
6,18.756,2019-04-26T06:00:00Z,8.699
6.5,18.669,2019-04-26T06:00:00Z,8.762
7,18.693,2019-04-26T06:00:00Z,8.766
7.5,18.738,2019-04-26T06:00:00Z,8.758
8,18.546,2019-04-26T06:00:00Z,8.604
8.5,18.581,2019-04-26T06:00:00Z,8.461
9,18.434,2019-04-26T06:00:00Z,8.235
9.5,18.333,2019-04-26T06:00:00Z,7.934
10,18.037,2019-04-26T06:00:00Z,7.088
0,20.936,2019-04-26T08:00:00Z,11.767
0.5,20.924,2019-04-26T08:00:00Z,11.702
1,20.792,2019-04-26T08:00:00Z,11.638
1.5,20.655,2019-04-26T08:00:00Z,11.504
2,20.39,2019-04-26T08:00:00Z,11.494
2.5,20.258,2019-04-26T08:00:00Z,11.35
3,20.187,2019-04-26T08:00:00Z,11.217
3.5,20.049,2019-04-26T08:00:00Z,11.204
4,19.894,2019-04-26T08:00:00Z,11.06
4.5,19.78,2019-04-26T08:00:00Z,10.79
5,19.868,2019-04-26T08:00:00Z,10.774
5.5,19.757,2019-04-26T08:00:00Z,10.715
6,19.726,2019-04-26T08:00:00Z,10.643
6.5,19.547,2019-04-26T08:00:00Z,9.807
7,18.655,2019-04-26T08:00:00Z,8.772
