Date,Time,Site,Station_ID,Depth_TMB,Depth_m,Comments,chla_ug.L,TSS_mg.L,VSS_mg.L,TDS_mg.L,NH4_mg.L,Nox_mg.L,TKN_mg.L,TP_mg.L,DOPO4_mg.L,TOC_mg.L,DOC_mg.L,Alkalinity_mg.L,Cl_mg.L,SO4_mg.L,Tfe_ug.L,TMn_ug.L,DMn_ug.L,Ca_mg.L,Mg_mg.L,Na_mg.L,K_mg.L,As_ug.L,Tsi_mg.L,Dsi_mg.L,Algae_cells.mL,Br_mg.L,Ecoli_MPN,FecalCol.100mL,TTHMFP_uM,Dfe_ug.L,DMn_ug.L,Pb_ug.L,STKN_mg.L,DTP_mg.L,TOPOO4_mg.L,CBOD5_mg.L,BOD20_mg.L,VSS_mg.L_alt,NO3_mg.L,NO2_mg.L,Si_mg.L,Color_mg.L,pH,SBFP,SolP.P_mg.L
08/19/1992,,RC-05,15170,B,,,16.9,61.7,,190,1.44,0.02,2.52,0.7,0.09,9.19,4.79,153,11.3,9.91,,,,50.2,3.74,12.6,4.78,,,,3540,,,2,1.67,190,1570,<5,1.74,,,,,,,,,,,,
08/19/1992,,RC-06,15199,T,,,27.8,41.2,,229,0.09,0.01,0.73,0.09,0.03,5.76,4.55,106,,,,,,,,,,,,,,,,3,,20,<10,<5,0.35,,,,,,,,,,,,
08/19/1992,,RC-06,15199,B,,,18.7,55.2,,244,0.025,0.01,0.66,0.12,0.03,,,115,,,,,,,,,,,,,,,,4,,30,<10,<5,0.35,,,,,,,,,,,,
08/11/1992,,RC-05,15170,M,,,28.2,4.3,,108,0.1, <0.01,0.44,0.05,0.01,6.23,5.41,48.4,12.1,15.8,,,,18.4,3.29,10.5,4.27,,,,,,,2,6.45,<20,<10,6,0.38,,,,,,,,,,,,
09/16/1992,,RC-05,15170,M,,,15.1,9,,178,<0.05, <0.01,0.61,0.05,0.01,4.62,3.95,101,13.1,24.7,,,,39.3,3.43,14.1,4.41,,,,3420,,,95,1.21,<20,<10,<5,0.42,,,,,,,,,,,,
10/28/1992,,RC-05,15170,M,,,9.6,7.7,,216,0.13,<0.01,0.8,0.04,0.01,4.95,4.52,106,12.6,29,,,,42.2,3.13,14.6,4.25,,,,,,,0,5.61,<20,40,<5,0.37,,,,,,,,,,,,
11/18/1992,,RC-01,15168,T,,,4.4, <4.0,,230,<0.05,0.21,0.34,0.03,0.03,4.14,4.04,109,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.28,,,,,,,,,,,,
11/18/1992,,RC-01,15168,B,,,1.5, <4.0,,232,0.12,0.21,0.47,0.04,0.03,4.41,3.72,109,,,,,,,,,,,,,,,,3,,<20,<10,<5,0.26,,,,,,,,,,,,
11/18/1992,,RC-02,15169,T,,,1.8, <4.0,,239,0.09,0.2,0.44,0.04,,4.35,4.04,109,,,,,,,,,,,,,,,,2,,20,<10,<5,0.25,,,,,,,,,,,,
11/18/1992,,RC-02,15169,B,,,2.7,10.9,,223,0.08,0.19,0.46,0.06,0.06,4.57,3.73,109,,,,,,,,,,,,,,,,4,,<20,40,<5,0.29,,,,,,,,,,,,
11/18/1992,,RC-03,11068,T,,,5.9,4,,221,0.08,0.13,0.52,0.06,0.06,4.5,4,110,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.31,,,,,,,,,,,,
11/18/1992,,RC-03,11068,B,,,5.3,18.1,,218,0.15,0.12,0.69,0.08,0.04,5.77,4.05,112,,,,,,,,,,,,,,,,2,,<20,20,<5,0.4,,,,,,,,,,,,
11/18/1992,,RC-04,15172,T,,,6.7,14.2,,232,0.06,0.03,0.61,0.08,0.02,5.71,4.66,118,,,,,,,,,,,,,,,,8,,<20,<10,<5,0.39,,,,,,,,,,,,
11/18/1992,,RC-04,15172,B,,,9.4,19,,227,0.06,0.03,0.66,0.1,0.02,5.64,4.69,118,,,,,,,,,,,,,,,,6,,<20,<10,<5,0.38,,,,,,,,,,,,
11/18/1992,,RC-05,15170,T,,,7.8,6.7,,216,0.19,0.13,0.68,0.06,0.04,4.31,3.84,109,12.8,30.4,,,,43.9,3.73,14.8,4.43,,,,1360,,,2,2.22,<20,<10,<5,0.29,,,,,,,,,,,,
11/18/1992,,RC-05,15170,B,,,4,21,,213,0.15,0.11,0.64,0.08,0.06,4.62,3.8,109,13.1,32.8,,,,44.2,3.65,15.3,4.54,,,,2400,,,2,2.27,<20,<10,<5,0.28,,,,,,,,,,,,
11/18/1992,,RC-06,15199,T,,,16.9,62.6,,251,<0.05,0.11,0.79,0.17,0.03,6.13,4.37,114,,,,,,,,,,,,,,,,33,,20,<10,<5,0.46,,,,,,,,,,,,
11/18/1992,,RC-06,15199,B,,,18.7,67.5,,252,<0.05,0.27,0.83,0.18,0.06,6.68,4.71,119,,,,,,,,,,,,,,,,9,,20,<10,<5,0.44,,,,,,,,,,,,
12/17/1992,,RC-05,15170,M,,,6.1,6.5,,103,0.1,0.09,0.66,0.06,0.02,5.77,5.17,51.9,11.9,17.5,,,,18.3,3.35,10.2,4.59,,,,4320,,,8,2.91,30,<10,<5,0.45,,,,,,,,,,,,
01/27/1993,,RC-05,15170,M,,,10.7,7,,198,<0.05,0.35,0.54,0.05,0.02,5.18,3.85,106,12.3,28.3,,,,41,3.35,15.1,4.3,4,,,3840,,,0,3.72,<20,<10,<5,0.42,,,,,,,,,,,,
02/17/1993,,RC-01,15168,T,,,3,6,,181,<0.05,0.28,0.56,0.04,0.01,4.33,3.52,108,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.37,,,,,,,,,,,,
02/17/1993,,RC-01,15168,B,,,9.7,5.7,,186,<0.05,0.28,0.53,0.04,0.01,4.7,3.81,108,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.38,,,,,,,,,,,,
