Depth_m,Temp_C,datetime,DO_mg.L
4,11.746,2021-03-23T13:00:00Z,8.331
4.5,11.662,2021-03-23T13:00:00Z,8.303
5,11.512,2021-03-23T13:00:00Z,8.149
5.5,11.492,2021-03-23T13:00:00Z,8.105
6,11.431,2021-03-23T13:00:00Z,8.15
6.5,10.882,2021-03-23T13:00:00Z,7.248
7,9.678,2021-03-23T13:00:00Z,6.466
7.5,8.882,2021-03-23T13:00:00Z,6.425
8,8.366,2021-03-23T13:00:00Z,5.498
8.5,8.275,2021-03-23T13:00:00Z,4.945
0,13.366,2021-03-23T15:00:00Z,10.28
0.5,13.342,2021-03-23T15:00:00Z,10.345
1,13.266,2021-03-23T15:00:00Z,10.268
1.5,13.171,2021-03-23T15:00:00Z,10.151
2,12.899,2021-03-23T15:00:00Z,9.705
2.5,12.421,2021-03-23T15:00:00Z,9.215
3,12.047,2021-03-23T15:00:00Z,8.569
3.5,11.835,2021-03-23T15:00:00Z,8.437
4,11.688,2021-03-23T15:00:00Z,8.254
4.5,11.589,2021-03-23T15:00:00Z,8.156
5,11.416,2021-03-23T15:00:00Z,7.929
5.5,11.256,2021-03-23T15:00:00Z,7.839
6,11.16,2021-03-23T15:00:00Z,7.736
6.5,10.85,2021-03-23T15:00:00Z,7.538
7,9.011,2021-03-23T15:00:00Z,6.242
7.5,8.546,2021-03-23T15:00:00Z,6.044
8,8.429,2021-03-23T15:00:00Z,5.73
8.5,8.3,2021-03-23T15:00:00Z,5.019
0,13.324,2021-03-23T17:00:00Z,10.407
0.5,13.344,2021-03-23T17:00:00Z,10.419
1,13.363,2021-03-23T17:00:00Z,10.468
1.5,13.267,2021-03-23T17:00:00Z,10.424
2,12.816,2021-03-23T17:00:00Z,9.762
2.5,12.665,2021-03-23T17:00:00Z,9.472
3,12.42,2021-03-23T17:00:00Z,9.308
3.5,12.076,2021-03-23T17:00:00Z,8.65
4,11.85,2021-03-23T17:00:00Z,8.319
4.5,11.732,2021-03-23T17:00:00Z,8.175
5,11.532,2021-03-23T17:00:00Z,7.894
5.5,11.432,2021-03-23T17:00:00Z,7.75
6,11.296,2021-03-23T17:00:00Z,7.868
6.5,10.867,2021-03-23T17:00:00Z,7.374
7,9.861,2021-03-23T17:00:00Z,6.454
7.5,8.842,2021-03-23T17:00:00Z,6.266
8,8.272,2021-03-23T17:00:00Z,5.078
8.5,8.269,2021-03-23T17:00:00Z,4.622
0,13.333,2021-03-23T19:00:00Z,10.429
0.5,13.32,2021-03-23T19:00:00Z,10.403
1,13.371,2021-03-23T19:00:00Z,10.423
1.5,13.351,2021-03-23T19:00:00Z,10.42
2,13.141,2021-03-23T19:00:00Z,10.009
2.5,13.009,2021-03-23T19:00:00Z,9.936
3,12.833,2021-03-23T19:00:00Z,9.675
3.5,12.671,2021-03-23T19:00:00Z,9.467
4,12.288,2021-03-23T19:00:00Z,8.82
4.5,11.969,2021-03-23T19:00:00Z,8.582
5,11.839,2021-03-23T19:00:00Z,8.335
5.5,11.707,2021-03-23T19:00:00Z,8.146
6,11.41,2021-03-23T19:00:00Z,7.927
6.5,11.187,2021-03-23T19:00:00Z,7.695
7,10.873,2021-03-23T19:00:00Z,7.187
7.5,9.259,2021-03-23T19:00:00Z,6.339
8,8.696,2021-03-23T19:00:00Z,6.26
8.5,8.378,2021-03-23T19:00:00Z,4.982
0,13.205,2021-03-23T21:00:00Z,10.148
0.5,13.241,2021-03-23T21:00:00Z,10.131
1,13.207,2021-03-23T21:00:00Z,10.173
1.5,13.206,2021-03-23T21:00:00Z,10.133
2,13.213,2021-03-23T21:00:00Z,10.063
2.5,12.974,2021-03-23T21:00:00Z,9.767
3,12.906,2021-03-23T21:00:00Z,9.755
3.5,12.843,2021-03-23T21:00:00Z,9.661
4,12.492,2021-03-23T21:00:00Z,9.069
4.5,11.988,2021-03-23T21:00:00Z,8.461
5,11.889,2021-03-23T21:00:00Z,8.422
5.5,11.849,2021-03-23T21:00:00Z,8.364
6,11.812,2021-03-23T21:00:00Z,8.13
6.5,11.348,2021-03-23T21:00:00Z,7.476
7,8.589,2021-03-23T21:00:00Z,6.091
7.5,8.479,2021-03-23T21:00:00Z,5.72
8,8.341,2021-03-23T21:00:00Z,5.446
8.5,8.351,2021-03-23T21:00:00Z,5.058
0,13.124,2021-03-23T23:00:00Z,9.984
0.5,13.076,2021-03-23T23:00:00Z,9.973
1,13.067,2021-03-23T23:00:00Z,9.947
1.5,13.125,2021-03-23T23:00:00Z,9.994
2,13.072,2021-03-23T23:00:00Z,9.959
2.5,13.121,2021-03-23T23:00:00Z,9.916
3,12.819,2021-03-23T23:00:00Z,9.455
3.5,12.705,2021-03-23T23:00:00Z,9.423
4,12.476,2021-03-23T23:00:00Z,9.119
4.5,12.132,2021-03-23T23:00:00Z,8.641
5,11.841,2021-03-23T23:00:00Z,8.349
5.5,11.718,2021-03-23T23:00:00Z,8.089
6,11.199,2021-03-23T23:00:00Z,7.658
6.5,10.792,2021-03-23T23:00:00Z,7.17
7,9.772,2021-03-23T23:00:00Z,6.039
7.5,8.478,2021-03-23T23:00:00Z,5.367
8,8.408,2021-03-23T23:00:00Z,5.253
8.5,8.32,2021-03-23T23:00:00Z,4.783
0,13.034,2021-03-24T01:00:00Z,10.031
0.5,13.031,2021-03-24T01:00:00Z,10.033
1,13.025,2021-03-24T01:00:00Z,10.003
1.5,13.064,2021-03-24T01:00:00Z,10.013
2,13.106,2021-03-24T01:00:00Z,9.98
2.5,13.028,2021-03-24T01:00:00Z,9.985
3,13.016,2021-03-24T01:00:00Z,9.98
3.5,12.699,2021-03-24T01:00:00Z,9.197
4,12.606,2021-03-24T01:00:00Z,9.153
4.5,12.513,2021-03-24T01:00:00Z,9.071
5,12.046,2021-03-24T01:00:00Z,8.484
5.5,11.857,2021-03-24T01:00:00Z,8.362
6,11.333,2021-03-24T01:00:00Z,8.051
6.5,10.786,2021-03-24T01:00:00Z,7.28
7,9.201,2021-03-24T01:00:00Z,6.139
7.5,8.55,2021-03-24T01:00:00Z,5.476
8,8.406,2021-03-24T01:00:00Z,5.213
8.5,8.417,2021-03-24T01:00:00Z,5.303
0,12.969,2021-03-24T03:00:00Z,9.898
0.5,12.956,2021-03-24T03:00:00Z,9.932
1,12.96,2021-03-24T03:00:00Z,9.875
1.5,12.979,2021-03-24T03:00:00Z,9.828
2,12.977,2021-03-24T03:00:00Z,9.814
2.5,12.918,2021-03-24T03:00:00Z,9.735
3,12.824,2021-03-24T03:00:00Z,9.479
3.5,12.681,2021-03-24T03:00:00Z,9.215
4,12.498,2021-03-24T03:00:00Z,9.008
4.5,12.382,2021-03-24T03:00:00Z,8.949
5,11.942,2021-03-24T03:00:00Z,8.373
5.5,11.558,2021-03-24T03:00:00Z,8.148
6,11.334,2021-03-24T03:00:00Z,7.673
6.5,10.988,2021-03-24T03:00:00Z,7.31
7,9.265,2021-03-24T03:00:00Z,6.107
7.5,8.735,2021-03-24T03:00:00Z,5.932
8,8.385,2021-03-24T03:00:00Z,5.208
8.5,8.314,2021-03-24T03:00:00Z,4.711
0,12.837,2021-03-24T05:00:00Z,9.94
0.5,12.869,2021-03-24T05:00:00Z,9.925
1,12.814,2021-03-24T05:00:00Z,9.839
1.5,12.839,2021-03-24T05:00:00Z,9.843
2,12.853,2021-03-24T05:00:00Z,9.837
2.5,12.849,2021-03-24T05:00:00Z,9.869
3,12.849,2021-03-24T05:00:00Z,9.73
3.5,12.629,2021-03-24T05:00:00Z,9.253
4,12.619,2021-03-24T05:00:00Z,9.239
4.5,12.405,2021-03-24T05:00:00Z,8.893
5,11.771,2021-03-24T05:00:00Z,8.349
5.5,11.738,2021-03-24T05:00:00Z,8.064
6,11.405,2021-03-24T05:00:00Z,7.899
6.5,10.955,2021-03-24T05:00:00Z,7.364
7,9.381,2021-03-24T05:00:00Z,6.311
7.5,8.887,2021-03-24T05:00:00Z,5.686
8,8.63,2021-03-24T05:00:00Z,5.835
8.5,8.454,2021-03-24T05:00:00Z,5.444
0,12.805,2021-03-24T07:00:00Z,9.643
0.5,12.772,2021-03-24T07:00:00Z,9.733
1,12.782,2021-03-24T07:00:00Z,9.672
1.5,12.757,2021-03-24T07:00:00Z,9.679
2,12.794,2021-03-24T07:00:00Z,9.676
2.5,12.779,2021-03-24T07:00:00Z,9.665
3,12.803,2021-03-24T07:00:00Z,9.556
3.5,12.63,2021-03-24T07:00:00Z,9.111
4,12.402,2021-03-24T07:00:00Z,8.833
4.5,12.334,2021-03-24T07:00:00Z,8.739
5,11.75,2021-03-24T07:00:00Z,8.206
5.5,11.747,2021-03-24T07:00:00Z,7.924
6,11.544,2021-03-24T07:00:00Z,7.776
6.5,10.741,2021-03-24T07:00:00Z,6.874
7,9.573,2021-03-24T07:00:00Z,6.34
7.5,8.879,2021-03-24T07:00:00Z,6.031
8,8.524,2021-03-24T07:00:00Z,5.582
8.5,8.397,2021-03-24T07:00:00Z,5.041
0,12.733,2021-03-24T09:00:00Z,9.746
0.5,12.714,2021-03-24T09:00:00Z,9.735
1,12.713,2021-03-24T09:00:00Z,9.726
1.5,12.712,2021-03-24T09:00:00Z,9.693
2,12.738,2021-03-24T09:00:00Z,9.695
2.5,12.73,2021-03-24T09:00:00Z,9.711
3,12.728,2021-03-24T09:00:00Z,9.701
3.5,12.516,2021-03-24T09:00:00Z,9.134
4,12.47,2021-03-24T09:00:00Z,8.809
4.5,12.228,2021-03-24T09:00:00Z,8.49
5,11.738,2021-03-24T09:00:00Z,8.011
5.5,11.477,2021-03-24T09:00:00Z,7.737
6,10.87,2021-03-24T09:00:00Z,7.384
6.5,10.481,2021-03-24T09:00:00Z,6.902
7,9.81,2021-03-24T09:00:00Z,6.351
7.5,8.797,2021-03-24T09:00:00Z,5.795
8,8.64,2021-03-24T09:00:00Z,5.538
8.5,8.341,2021-03-24T09:00:00Z,4.75
0,13.069,2021-03-24T11:00:00Z,10.094
0.5,13.12,2021-03-24T11:00:00Z,10.034
1,12.878,2021-03-24T11:00:00Z,10.041
1.5,12.76,2021-03-24T11:00:00Z,9.903
2,12.713,2021-03-24T11:00:00Z,9.689
2.5,12.748,2021-03-24T11:00:00Z,9.666
3,12.671,2021-03-24T11:00:00Z,9.283
3.5,12.46,2021-03-24T11:00:00Z,8.964
4,12.082,2021-03-24T11:00:00Z,8.38
4.5,11.846,2021-03-24T11:00:00Z,8.08
5,11.556,2021-03-24T11:00:00Z,7.853
5.5,11.206,2021-03-24T11:00:00Z,7.522
6,10.902,2021-03-24T11:00:00Z,6.949
6.5,10.337,2021-03-24T11:00:00Z,6.787
7,9.969,2021-03-24T11:00:00Z,6.076
7.5,8.715,2021-03-24T11:00:00Z,5.522
8,8.489,2021-03-24T11:00:00Z,5.336
8.5,8.336,2021-03-24T11:00:00Z,4.408
0,13.172,2021-03-24T17:00:00Z,10.613
0.5,13.11,2021-03-24T17:00:00Z,10.543
1,13.078,2021-03-24T17:00:00Z,10.554
1.5,12.967,2021-03-24T17:00:00Z,10.467
2,12.845,2021-03-24T17:00:00Z,10.37
2.5,12.767,2021-03-24T17:00:00Z,10.135
3,12.731,2021-03-24T17:00:00Z,9.93
3.5,12.392,2021-03-24T17:00:00Z,9.018
4,12.364,2021-03-24T17:00:00Z,8.712
4.5,12.305,2021-03-24T17:00:00Z,8.583
5,12.154,2021-03-24T17:00:00Z,8.545
5.5,12.001,2021-03-24T17:00:00Z,8.374
6,11.323,2021-03-24T17:00:00Z,7.723
6.5,10.939,2021-03-24T17:00:00Z,7.393
7,10.201,2021-03-24T17:00:00Z,6.18
7.5,8.919,2021-03-24T17:00:00Z,5.84
8,8.436,2021-03-24T17:00:00Z,4.967
8.5,8.371,2021-03-24T17:00:00Z,4.306
0,10.625,2021-03-25T05:00:00Z,11.336
