none,doy,hour_of_day,Depth_m,WaterTemp_C,Cloud_cov_fraction,DewPoint_C,AirTemp_C,Pressure_hPa,WWind_m.s,SWind_m.s,Datetime,val_period,Depth_m_raw,group_number
4.549716335321957,-1.1167986165689454,0.05127354412794349,4.104861237447776,2.482212249326104,-0.16765108486175906,-0.1513475950524673,-0.46618401533063647,-0.022073853296995072,-0.20300257652990628,0.47998875265610863,2021-08-17 21:00:00,8,0,6
4.549716398188439,-1.090051721109972,-0.1041666064279344,4.125509600920289,2.2499919408417295,-0.21626208389976254,-0.29595700688441584,-0.40358020787276905,-0.036731337277909226,0.3305690618002749,-0.3202257263739542,2021-08-17 23:00:00,8,0,6
4.549715641537515,-0.633217768273782,-0.1372899117278432,-1.3318808131416917,-1.2420536990177071,-0.11475186797568994,-0.3856438519501843,-0.3332520633093487,0.040347476697103764,-0.16464954651191188,-0.22385305033225583,2021-08-08 01:00:00,8,5,1
4.549715751627721,-0.7717176766954575,-0.1812122780492823,-1.4502170244004269,-1.0624799793192612,-0.17715621549260774,-0.5047135659652585,-0.4611875451706538,-0.060942954420026924,0.14789952630592446,-0.008072095393338119,2021-08-08 03:00:00,8,5,1
4.549715756261385,-0.8744862565450188,-0.17185562637793989,-1.3999357945147433,-1.2256642297731342,-0.17462508014394768,-0.5598011443826973,-0.38244702092407235,-0.05122069559620242,0.2073376833600622,0.09553470128924571,2021-08-08 05:00:00,8,5,1
4.549715775062657,-0.6904467866150843,0.013562830103730017,-1.4516373190405638,-1.3689408338649027,-0.1123117379044805,-0.48083526280718536,-0.35627405317079236,-0.05508320921827351,-0.10958200667833044,0.09242864927793239,2021-08-08 19:00:00,8,5,1
4.549715792749146,-0.6182431574177941,-0.08982777322075275,-1.5089260683306613,-1.202078318786652,-0.2283843835301629,-0.45003195588506667,-0.3456399110947393,-0.07669824537947742,-0.042779101796441725,0.1121204861246364,2021-08-08 21:00:00,8,5,1
4.54971577599161,-0.7381190691964649,-0.0889190409917561,-1.4825876653923908,-1.1700620169304514,-0.1629004677719228,-0.45704754976686557,-0.39833712742853683,-0.03415291682224671,-0.05269975023524406,0.0781844380641569,2021-08-08 23:00:00,8,5,1
4.549715719233975,-0.7130665916766874,-0.169538498876516,-1.4220651829709094,-1.1834427685180022,-0.15264568347571128,-0.4503869207854326,-0.4512815483326093,0.006421611838501957,0.024598163305314013,-0.022685630480696783,2021-08-09 01:00:00,8,5,1
4.549715691644209,-0.675244304601791,-0.15411877689017756,-1.359968734479733,-1.2786604446929286,-0.1441885435097017,-0.4796485059060471,-0.35236679447940705,-0.06032789801937424,0.05192357058404227,-0.08560633714615222,2021-08-09 03:00:00,8,5,1
4.549715850305082,-1.3552422595988656,-0.22821729666579077,-1.511955351085619,-1.0228686718744353,0.6394731810838503,-0.586044330955248,-0.4170154494314898,-0.16136869113358393,0.11892475732671098,0.10913757793020087,2021-08-09 05:00:00,8,5,1
4.549715793120186,-0.7619742259945302,-0.02978789732155313,-1.4655804632866865,-1.3416400401008262,-0.15076748599103557,-0.6369938147339098,-0.3935093151596767,-0.03221849166582692,0.039642519375140683,0.23991496069967166,2021-08-09 19:00:00,8,5,1
4.549715834269129,-0.8051348284542726,-0.057748798511377486,-1.5619558547041839,-1.0051766518153156,-0.17219629051745308,-0.6804569518859871,-0.43330349470014873,-0.029556734373092586,0.11236053182393395,0.12117441869825626,2021-08-09 21:00:00,8,5,2
4.5497157482039565,-0.6258474908194861,-0.13618439429351686,-1.4291498104589042,-1.3160046749947367,-0.17187747954000077,-0.5156706829360163,-0.3472790564284036,-0.05604774173984163,0.07431693310094213,0.10230621498267636,2021-08-09 23:00:00,8,5,2
